line_no,line,sentiment,label,score
0,The Idiot,0,NEGATIVE,0.9908154
1,by Fyodor Dostoyevsky,1,POSITIVE,0.9862483
2,Translated by Eva Martin,1,POSITIVE,0.993332
3,Contents,0,NEGATIVE,0.793188
4,PART I,1,POSITIVE,0.9853532
5,PART II,1,POSITIVE,0.98044354
6,PART III,1,POSITIVE,0.9846154
7,PART IV,1,POSITIVE,0.97408396
8,PART I,1,POSITIVE,0.9853532
9,I.,1,POSITIVE,0.87269837
10,"Towards the end of November, during a thaw, at nine o’clock one",1,POSITIVE,0.99404895
11,"morning, a train on the Warsaw and Petersburg railway was approaching",1,POSITIVE,0.9936953
12,the latter city at full speed.,1,POSITIVE,0.99705225
13,The morning was so damp and misty that,0,NEGATIVE,0.9947277
14,it was only with great difficulty that the day succeeded in breaking;,0,NEGATIVE,0.9968277
15,and it was impossible to distinguish anything more than a few yards,0,NEGATIVE,0.99938446
16,away from the carriage windows.,0,NEGATIVE,0.99772745
17,Some of the passengers by this particular train were returning from,0,NEGATIVE,0.99328774
18,"abroad; but the third-class carriages were the best filled, chiefly",1,POSITIVE,0.9895332
19,"with insignificant persons of various occupations and degrees, picked",0,NEGATIVE,0.9986736
20,up at the different stations nearer town.,1,POSITIVE,0.9950793
21,"All of them seemed weary, and",0,NEGATIVE,0.9993194
22,"most of them had sleepy eyes and a shivering expression, while their",0,NEGATIVE,0.9977488
23,complexions generally appeared to have taken on the colour of the fog,0,NEGATIVE,0.9928136
24,outside.,1,POSITIVE,0.9962792
25,"When day dawned, two passengers in one of the third-class carriages",1,POSITIVE,0.9826948
26,found themselves opposite each other.,0,NEGATIVE,0.9916724
27,"Both were young fellows, both",1,POSITIVE,0.99770796
28,"were rather poorly dressed, both had remarkable faces, and both were",0,NEGATIVE,0.9978823
29,evidently anxious to start a conversation.,1,POSITIVE,0.9958819
30,"If they had but known why,",0,NEGATIVE,0.9967325
31,"at this particular moment, they were both remarkable persons, they",1,POSITIVE,0.99843556
